TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA
AALR3;10,69;0,82;-12,31;1,07;0,50;16,36;-1,64;-11,44;-86,08;-126,19;-40,11;0,50;1,41;-39,51;-0,64;0,95;-8,73;-4,02;-1,55;0,46;0,53;0,35;22,24;;4.808.049,84;9,95;-0,87
ABCB4;15,11;3,29;10,09;0,80;0,07;0,21;-5,66;5,33;-9,50;-9,50;;;0,54;1,14;-0,08;2,03;7,90;0,72;;0,09;0,91;0,13;5,50;8,66;13.067.087,11;18,96;1,50
ABEV3;15,11;3,25;27,35;3,05;1,87;54,66;24,83;15,61;17,20;16,02;-1,18;-0,21;4,27;26,95;-2,70;1,29;11,14;6,84;15,68;0,61;0,37;0,44;6,67;-0,28;445.617.414,37;4,96;0,55
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38
AERI3;11,84;;65,79;52,66;5,50;13,30;12,42;7,92;41,95;45,83;3,88;4,87;5,21;40,48;-15,54;1,27;80,04;8,36;15,40;0,10;0,90;1,05;;;59.446.847,26;0,22;0,18
AFLT3;9,84;7,35;28,06;3,32;2,95;64,57;59,24;59,01;27,95;26,33;-1,61;-0,19;16,56;13,70;-4,18;3,73;11,85;10,51;10,82;0,89;0,11;0,18;2,20;11,01;27.822,14;2,96;0,35
AGRO3;25,78;2,75;8,20;1,43;0,78;30,53;22,62;25,46;9,23;12,09;2,86;0,44;2,09;6,61;-1,14;1,61;17,40;9,55;9,57;0,55;0,45;0,37;13,49;-7,94;6.670.694,05;18,06;3,14
AHEB3;21,10;;-13,28;14,81;0,70;26,80;-6,37;-8,22;-17,14;-15,21;1,95;-1,69;1,09;-6,79;-0,82;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;51.693,75;1,42;-1,59
AHEB5;24,99;;-15,73;17,54;0,83;26,80;-6,37;-8,22;-20,30;-15,21;1,95;-1,69;1,29;-8,05;-0,97;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;2.499,00;1,42;-1,59
AHEB6;23,01;;-14,49;16,15;0,76;26,80;-6,37;-8,22;-18,69;-15,21;1,95;-1,69;1,19;-7,41;-0,89;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;6.571,17;1,42;-1,59
ALPA3;35,92;0,14;103,08;7,33;3,47;55,07;10,09;6,58;67,26;68,94;-0,97;-0,11;6,79;13,82;-9,66;1,64;7,11;3,37;5,68;0,47;0,52;0,51;1,55;-1,97;92.271,13;4,90;0,35
ALPA4;38,84;0,14;111,46;7,92;3,75;55,07;10,09;6,58;72,73;68,94;-0,97;-0,11;7,34;14,94;-10,44;1,64;7,11;3,37;5,68;0,47;0,52;0,51;1,55;-1,97;58.701.392,47;4,90;0,35
ALPK3;8,33;;-10,00;2,32;0,46;29,41;3,23;-21,71;67,26;133,67;66,41;2,30;2,17;-3,87;-0,54;0,54;-23,24;-4,64;0,80;0,20;0,80;0,21;;;751.396,08;3,58;-0,83
ALSO3;27,61;;27,61;1,11;0,68;67,80;52,25;28,78;15,21;12,50;-2,70;-0,20;7,95;5,13;-0,81;5,26;4,04;2,45;5,60;0,61;0,29;0,09;18,45;-27,08;48.399.611,24;24,77;1,00
ALUP11;25,65;2,69;12,55;1,37;0,36;46,15;44,80;11,73;3,29;6,09;2,81;1,17;1,47;3,53;-0,45;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;18.643.985,66;18,77;2,04
