TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;10,65;;-19,20;1,05;0,49;21,41;2,55;-6,71;50,43;72,96;22,54;0,47;1,29;21,74;-0,63;1,11;-5,46;-2,55;0,20;0,47;0,52;0,38;5,83;;16.624.267,19;10,15;-0,55;0,02;1.259.818.490,40
ABCB4;15,22;6,10;9,47;0,78;0,07;13,55;8,97;8,56;9,04;9,04;;;0,81;1,10;-0,08;2,00;8,28;0,75;;0,09;0,91;0,09;1,17;-2,60;12.313.765,56;19,43;1,61;-0,46;3.441.091.595,96
ABEV3;17,54;2,80;21,38;3,37;2,07;52,95;27,05;20,69;16,36;15,51;-0,85;-0,17;4,42;53,31;-2,87;1,16;15,74;9,68;17,16;0,61;0,37;0,47;4,56;-1,85;531.286.497,66;5,21;0,82;0,81;276.105.124.120,30
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;9,83;;62,96;7,61;2,71;10,82;8,71;4,61;33,32;36,19;2,87;0,66;2,90;6,38;-8,54;2,65;12,09;4,31;8,87;0,36;0,64;0,93;;;42.360.899,38;1,29;0,16;2,41;7.531.878.272,48
AESB3;14,60;1,17;;3,11;0,61;;;;;;;2,42;;10,58;-0,78;1,34;0,00;0,00;;0,19;0,81;0,00;;;11.802.977,25;4,69;0,00;;5.826.955.192,00
AFLT3;10,28;11,31;34,35;3,35;3,07;67,61;54,72;52,63;33,04;31,28;-1,76;-0,18;18,08;11,78;-4,27;13,16;9,76;8,93;9,29;0,92;0,08;0,17;5,56;8,17;26.043,66;3,07;0,30;-1,45;648.510.716,00
AGRO3;28,59;2,48;24,48;1,69;1,02;46,45;39,31;7,58;4,72;5,18;0,46;0,16;1,86;6,36;-1,78;1,61;6,90;4,18;22,82;0,61;0,39;0,55;13,49;-7,94;24.142.221,25;16,91;1,17;-0,75;2.926.958.658,72
AHEB3;28,90;;-5,25;-9,86;0,88;19,18;-17,42;-25,58;-7,71;-7,31;0,50;;1,34;-4,37;-1,12;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;15.489,67;-2,93;-5,51;-0,06;249.992.520,80
AHEB5;21,51;;-3,91;-7,34;0,65;19,18;-17,42;-25,58;-5,74;-7,31;0,50;;1,00;-3,25;-0,84;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;2.151,00;-2,93;-5,51;-0,05;249.992.520,80
AHEB6;51,50;;-9,35;-17,57;1,56;19,18;-17,42;-25,58;-13,73;-7,31;0,50;;2,39;-7,79;-2,00;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;6.742,00;-2,93;-5,51;-0,11;249.992.520,80
