TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BRLA11;0,00;0,00;;;0,74;;;137.631.181,91;84,00;Passiva;
BTSG11;0,00;0,00;;;0,92;;;72.613.837,12;52,00;Ativa;
BTSI11;0,00;0,00;;;0,31;;;17.840.248,27;52,00;Ativa;
FEXC11;90,24;8,88;0,97;696.117,65;49,02;-5,63;-6,61;567.938.321,66;17.462,00;Ativa;
FIGS11;63,03;3,92;0,67;365.399,55;4,65;-36,66;-3,23;268.516.555,33;17.545,00;Passiva;
FIIP11B;193,42;6,38;0,97;126.534,45;2,80;-9,74;0,79;184.974.107,19;9.086,00;Passiva;
TCIN11;108,92;0,00;0,79;56.214,50;1,83;;;114.824.826,95;128,00;Ativa;
TGAR11;133,20;10,46;1,01;3.513.739,75;37,32;11,42;;1.487.042.542,65;75.147,00;Ativa;
FVPQ11;130,00;2,50;0,66;85.130,20;1,05;-5,95;-20,83;548.434.490,15;5.259,00;Passiva;
SPTW11;61,99;24,81;1,19;446.333,90;9,38;29,15;-4,42;93.568.201,37;18.264,00;Passiva;
TBOF11;15,56;0,00;129,67;;67,61;72,22;-40,54;1.243.287,32;9.157,00;Passiva;
TOUR11;127,00;30,48;0,23;27.732,85;5,06;;;105.923.201,59;237,00;Ativa;
CPTS11;99,69;11,34;1,05;11.137.928,10;14,02;6,90;0,23;2.458.261.150,77;101.296,00;Ativa;
FISC11;165,00;0,65;1,06;33.000,00;0,29;;;254.740.992,29;66,00;Ativa;
FIVN11;2,97;0,00;0,43;92.159,85;0,00;;-4,87;64.722.802,83;2.881,00;Passiva;
FLCR11;100,90;4,89;1,00;113.814,20;17,16;;;50.417.226,04;203,00;Ativa;
FMOF11;72,97;1,81;0,55;1.169,88;1,35;20,42;-2,23;67.036.039,33;363,00;Passiva;
RECT11;80,55;10,24;0,87;1.222.823,65;0,80;;;761.018.357,05;76.666,00;Ativa;
SNFF11;99,50;0,53;1,04;997.288,35;30,50;;;240.192.510,51;27.509,00;Ativa;
FAMB11B;1.201,00;5,04;0,34;63.626,45;8,18;-9,82;-18,76;365.424.035,32;3.555,00;Passiva;
FVBI11;94,97;68,23;;69.079,00;;142,93;-2,16;0,00;0,00;Passiva;
SEQR11;82,00;4,11;0,77;266.144,15;4,66;;;157.879.312,00;1.199,00;Ativa;
SHPH11;814,49;3,49;0,99;211.271,10;0,41;-11,96;-5,50;501.304.789,65;3.105,00;Passiva;
SOLR11;1.220,00;3,21;1,17;1.220,00;3,56;;;65.455.532,60;32,00;Ativa;
ZIFI11;1.400,00;0,00;1,24;41.401,71;2,79;;;23.483.861,85;16,00;Ativa;
AFOF11;100,97;3,51;0,95;236.216,50;86,77;;;39.074.015,74;246,00;Ativa;
AIEC11;86,00;7,34;0,86;1.259.545,60;4,68;;;483.563.218,73;3.055,00;Ativa;
PBLV11;926,98;8,93;0,69;;5,60;;;3.865.935.530,47;2,00;Ativa;
BRIP11;1.099,00;0,00;1,11;1.099,00;19,94;;;107.018.154,87;235,00;Ativa;
BVAR11;0,00;0,00;;;0,87;11,72;;680.173.321,92;69,00;Passiva;
CTXT11;23,14;8,82;0,48;13.180,35;0,74;-23,80;78,63;125.384.663,85;4.121,00;Passiva;
CVBI11;103,70;12,34;1,04;3.490.360,60;63,35;;;595.317.841,23;33.546,00;Ativa;
FATN11;101,00;6,23;0,94;149.600,11;12,21;;;70.356.059,44;294,00;Ativa;
BZEL11;0,00;0,00;;;0,01;;;538.876.263,48;2,00;Ativa;
CXCE11B;89,40;12,14;1,10;66.966,40;5,83;5,47;-0,22;138.989.389,34;2.984,00;Passiva;
CXCO11;100,19;2,62;1,00;432.004,60;0,90;;;393.310.347,26;13.179,00;Ativa;
CXTL11;380,00;4,40;0,59;21.162,40;0,61;15,73;-8,74;34.506.021,04;663,00;Passiva;
