TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
LAVF11;0,00;1,300000;0,00;736,85;;;1,89;;;32.863.542,22;8,00;Ativa;44.600,00
THRA11;138,50;0,130000;32,66;9,54;14,52;53.642,50;140,47;90,73;1,36;14.050.683,35;2.084,00;Passiva;1.472.728,00
RBRF11;69,77;0,600000;10,33;84,72;0,82;2.574.087,21;1,85;-5,54;-12,23;1.159.026.121,25;81.982,00;Ativa;13.680.770,00
LVBI11;100,00;0,740000;8,01;114,69;0,87;2.346.967,71;6,67;2,42;-3,71;1.350.463.945,74;46.996,00;Ativa;11.775.177,00
QAGR11;45,99;0,390000;9,98;59,70;0,77;392.844,18;1,13;;;300.864.324,28;25.749,00;Ativa;5.040.000,00
RBCB11;19,00;0,300000;0,00;0,00;;;;-15,04;-53,57;0,00;462,00;Ativa;53.100,00
SFRO11;0,00;;0,00;5,93;;;102,53;;;5.191.438,53;20,00;Passiva;875.758,00
RCFA11;5,04;;0,00;22,25;0,23;2.546,00;0,05;;;12.993.863,75;280,00;Passiva;583.926,00
PRZS11;0,00;;0,00;119,17;;;0,01;;;58.001.203,28;20,00;Ativa;486.695,00
BREV11;95,70;0,560000;7,13;109,85;0,87;941,27;0,92;;;106.249.152,57;131,00;Ativa;967.201,00
RSPD11;1.125,00;13,250897;2,16;1.106,26;1,02;3.375,00;0,61;;;164.816.444,57;106,00;Ativa;148.985,00
PORD11;94,00;1,410000;13,51;99,20;0,95;920.808,03;4,27;-31,49;-3,62;369.859.708,13;16.069,00;Ativa;3.728.375,00
MINT11;100,50;;0,00;118,85;0,85;10.966,67;9,26;;;61.799.668,31;69,00;Ativa;520.000,00
JTPR11;2.517,00;1,630372;0,00;101,37;24,83;;7,16;;;21.762.586,89;8,00;Ativa;214.674,00
