TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;121,55;0,68;27,10;7,07;3,43;54,21;23,71;19,94;22,79;23,95;1,16;0,36;5,40;20,13;-5,30;1,94;26,09;12,67;17,62;0,49;0,51;0,64;8,50;21,24;;17,20;4,49;;35.983.734.930,00
AA;33,66;1,19;6,29;1,07;0,39;27,89;16,72;7,19;2,71;3,04;0,33;0,13;0,45;2,31;-0,62;1,81;17,00;6,13;16,12;0,36;0,64;0,85;5,45;;;31,49;5,35;;6.056.282.232,00
AACG;1,71;;-11,09;1,96;0,69;52,74;-30,12;-14,93;-5,50;-4,85;0,65;-0,23;1,66;-1,67;-0,81;0,25;-17,69;-6,26;-32,20;0,35;0,65;0,42;-13,28;;;0,87;-0,15;;54.033.606,00
AACQ;9,99;;-93,43;180,94;1,25;;;;-27,75;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;-30,69;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;-6,94;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;12,04;;-4,07;-0,93;0,12;57,68;-1,45;-4,72;-13,24;-53,09;-39,85;;0,19;-1,84;-0,16;0,81;-22,81;-2,83;-3,97;-0,12;1,12;0,60;-5,73;;;-12,96;-2,96;;7.824.144.636,00
AAME;2,86;0,70;21,50;0,53;0,15;9,65;2,68;1,39;11,14;8,48;-2,66;-0,13;0,30;;-0,15;;2,49;0,72;3,94;0,29;0,71;0,51;3,74;10,18;;5,35;0,13;;58.339.710,00
AAN;9,72;4,50;5,26;0,42;0,15;58,05;3,66;2,89;4,17;8,10;3,93;0,39;0,15;10,71;-0,30;1,03;7,89;2,94;5,85;0,37;0,63;1,02;;;;23,41;1,85;;299.153.412,00
AAOI;2,72;;-1,25;0,35;0,17;15,96;-26,02;-28,68;-1,37;-3,23;-1,85;0,47;0,36;1,17;-0,32;1,50;-27,71;-14,00;-15,23;0,51;0,49;0,49;-4,09;;;7,88;-2,18;;75.841.216,00
AAON;53,88;0,71;51,36;5,84;3,69;23,41;10,27;8,37;41,86;43,15;1,29;0,18;4,30;14,98;-6,37;2,40;11,37;7,18;9,35;0,63;0,37;0,86;6,84;1,94;;9,23;1,05;;2.864.185.368,00
AAP;156,34;3,52;18,59;3,36;0,77;44,63;6,03;4,28;13,19;14,66;1,47;0,37;0,80;11,17;-1,58;1,16;18,09;4,17;13,75;0,23;0,77;0,97;0,75;0,82;;46,49;8,41;;9.398.879.388,00
AAPL;138,20;0,65;22,29;38,22;6,60;43,31;30,37;25,71;18,87;19,48;0,61;1,23;5,73;-126,33;-9,91;0,86;171,46;29,63;56,04;0,17;0,83;1,15;11,15;15,69;;3,62;6,20;;2.220.977.926.400,00
AAWW;95,57;;5,81;0,94;0,43;56,93;15,73;10,60;3,91;6,07;2,15;0,52;0,62;-17,35;-0,51;0,86;16,27;7,40;11,02;0,45;0,55;0,70;16,99;64,05;;101,15;16,46;;2.706.637.970,00
AB;35,06;10,81;9,27;;2,33;;;;;;;;;;-2,33;;;25,16;;0,00;0,00;0,00;;12,24;;0,00;3,78;;3.410.174.008,00
ABB;25,66;3,42;10,58;3,61;1,16;32,68;19,92;16,02;8,51;8,50;-0,01;0,00;1,70;18,77;-2,26;1,15;34,08;11,00;23,89;0,32;0,68;0,69;3,03;19,08;;7,12;2,43;;49.169.784.376,00
ABBV;134,21;4,12;18,78;16,19;1,66;70,48;28,42;22,04;14,56;18,42;3,86;4,30;4,14;-44,16;-2,08;0,84;86,24;8,83;16,98;0,10;0,90;0,40;16,99;14,16;;8,29;7,15;;237.296.231.265,00
ABC;135,33;1,36;15,23;125,05;0,49;3,55;1,09;0,78;10,92;12,10;1,18;13,50;0,12;-8,23;-1,61;0,92;821,13;3,22;32,10;0,00;1,00;4,13;7,82;1,52;;1,08;8,89;;28.048.238.673,00
ABCB;44,71;1,34;9,25;1,01;0,13;0,00;44,24;31,45;6,57;0,12;-6,45;-0,99;2,91;;-0,13;;10,91;1,42;10,33;0,13;0,87;0,05;25,38;39,21;;44,31;4,84;;3.101.090.071,00
ABCL;9,89;;14,08;2,33;1,77;100,00;56,94;39,49;9,76;6,14;-3,63;-0,86;5,56;3,06;-6,27;5,17;16,52;12,57;16,95;0,76;0,24;0,32;;;;4,25;0,70;;2.820.020.754,00
ABEO;3,04;;-0,22;0,90;0,40;100,00;-1.876,32;-1.905,50;-0,22;0,10;0,32;-1,29;4,16;1,09;-1,25;2,21;-412,29;-185,19;-405,98;0,45;0,55;0,10;27,54;;;3,38;-13,92;;18.089.216,00
ABEV;2,83;0,84;17,67;2,90;1,83;50,26;23,11;18,03;13,79;13,03;-0,75;-0,16;3,19;178,94;-2,50;1,04;16,42;10,34;19,92;0,63;0,37;0,57;-1,37;-10,14;;0,98;0,16;;44.548.765.922,00
ABG;151,10;;4,60;1,39;0,44;20,25;8,56;5,62;3,02;6,03;3,00;1,38;0,26;7,52;-0,55;1,38;30,14;9,51;14,98;0,32;0,68;1,69;8,55;26,07;;108,91;32,83;;3.344.069.650,00
ABIO;2,06;;-1,77;0,66;0,62;;;;-1,77;1,00;2,76;-1,03;;0,66;-66,56;16,97;-37,38;-34,94;-37,38;0,93;0,07;0,00;;;;3,12;-1,17;;29.684.806,00
ABM;38,23;2,03;11,71;1,51;0,55;100,00;4,38;2,88;7,71;11,15;3,44;0,67;0,34;9,51;-0,82;1,21;12,85;4,69;8,60;0,36;0,64;1,63;3,90;17,17;;25,40;3,26;;2.528.971.845,00
ABMD;245,66;;51,33;7,27;6,56;81,48;25,54;20,60;41,40;38,27;-3,13;-0,55;10,57;12,14;-17,36;7,53;14,16;12,77;14,16;0,90;0,10;0,62;18,30;21,24;;33,79;4,79;;11.167.924.694,00
ABNB;105,04;;53,81;12,81;3,52;81,58;17,88;16,91;50,88;50,54;-0,35;-0,09;9,10;10,27;-54,46;1,58;23,80;6,55;8,65;0,28;0,72;0,39;;;;8,20;1,95;;67.172.932.944,00
ABST;11,61;2,16;55,74;-13,76;4,55;87,94;14,58;10,16;38,82;35,74;-3,08;;5,66;-35,16;-13,48;0,84;-24,69;8,17;-24,75;-0,33;1,33;0,80;16,69;;;-0,84;0,21;;592.699.788,00
