TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;4,80;;16,04;0,62;0,17;100,00;163,58;32,01;5,22;16,37;13,24;2,61;5,13;;-0,17;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,77;0,30;;135.948.960,00
AAT;21,07;6,29;25,47;1,07;0,43;62,84;29,33;11,42;5,09;22,40;12,49;1,35;2,91;;-0,43;;4,21;1,69;4,47;0,40;0,60;0,15;5,92;20,67;;19,67;0,83;;1.283.074.506,00
ABR;12,90;13,26;7,37;0,78;0,15;97,99;446,52;112,64;1,77;9,80;7,95;3,33;8,30;;-0,15;;10,59;2,10;8,51;0,20;0,80;0,02;4,68;26,24;;16,54;1,75;;2.431.718.370,00
ACC;65,42;;154,52;2,95;1,22;51,87;18,95;6,00;19,33;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.124.977.860,00
ACRE;7,68;17,19;-10,75;0,67;0,18;100,00;1.782,02;-979,02;6,01;26,81;20,90;2,36;105,28;;-0,18;;-6,21;-1,70;3,15;0,27;0,73;0,00;;;;11,50;-0,71;;417.965.568,00
ADC;55,80;5,26;34,51;1,08;0,72;87,59;47,71;30,24;11,92;31,22;9,35;0,46;10,44;;-0,72;;3,13;2,09;3,33;0,67;0,33;0,07;31,42;23,92;;51,72;1,62;;5.608.982.520,00
AFCG;13,02;15,36;12,84;0,84;0,58;;;;11,32;9,58;0,29;0,03;;;-0,58;;6,55;4,49;6,07;0,69;0,31;0,00;;;;15,49;1,01;;269.085.642,00
AFIN;8,23;;-97,09;0,58;0,28;74,05;20,65;-3,17;5,02;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;;-303,19;1,80;0,86;74,05;20,65;-3,17;15,66;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;;-306,85;1,82;0,87;74,05;20,65;-3,17;15,85;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AGNC;9,80;14,69;73,24;0,82;0,10;;;;2,58;6,71;3,92;1,16;;;-0,10;;1,13;0,13;12,46;0,12;0,88;0,00;;3,74;;11,88;0,13;;6.811.147.980,00
AGNCM;24,94;6,89;186,38;2,10;0,24;;;;6,56;6,71;3,92;1,16;;;-0,24;;1,13;0,13;12,46;0,12;0,88;0,00;;3,74;;11,88;0,13;;6.811.147.980,00
AGNCN;25,88;10,23;193,41;2,18;0,25;;;;6,81;6,71;3,92;1,16;;;-0,25;;1,13;0,13;12,46;0,12;0,88;0,00;;3,74;;11,88;0,13;;6.811.147.980,00
AGNCO;24,78;6,56;185,19;2,09;0,24;;;;6,52;6,71;3,92;1,16;;;-0,24;;1,13;0,13;12,46;0,12;0,88;0,00;;3,74;;11,88;0,13;;6.811.147.980,00
AGNCP;23,75;6,45;177,49;2,00;0,23;;;;6,25;6,71;3,92;1,16;;;-0,23;;1,13;0,13;12,46;0,12;0,88;0,00;;3,74;;11,88;0,13;;6.811.147.980,00
AHH;10,46;7,41;-1.868,07;1,22;0,27;28,27;10,01;-0,06;4,31;11,18;0,72;0,08;1,05;;-0,27;;-0,07;-0,01;8,26;0,22;0,78;0,26;28,11;-13,59;;8,57;-0,01;;698.656.872,00
AHT;1,30;;-0,29;-0,15;0,01;32,33;13,62;-13,05;0,13;16,93;16,66;;0,04;-0,02;-0,02;0,10;-51,60;-5,16;6,04;-0,10;1,07;0,39;-0,90;;;-8,73;-4,50;;51.512.760,00
AIC;24,33;5,20;81,31;3,13;0,84;100,00;163,58;32,01;26,46;16,37;13,24;2,61;26,02;;-0,84;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,77;0,30;;135.948.960,00
AIRC;31,75;5,67;7,25;1,96;0,75;66,36;100,16;77,39;3,95;9,37;3,77;1,32;5,61;;-0,75;;26,99;10,35;14,72;0,38;0,60;0,13;-3,35;-0,66;;16,23;4,38;;4.601.127.450,00
AIV;8,03;;-7,00;3,33;0,56;60,58;-70,78;-88,88;-19,08;-17,30;-8,52;3,22;6,22;;-0,56;;-47,53;-7,95;-8,98;0,17;0,75;0,09;-28,09;;;2,41;-1,15;;1.162.837.951,00
AIW;25,00;;83,55;3,22;0,87;100,00;163,58;32,01;27,19;16,37;13,24;2,61;26,74;;-0,87;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,77;0,30;;135.948.960,00
